id,artist_song,status,updated,notes
AWTH-0012,Sarah Vaughan - I'm Gonna Live Until I Die,Received,2026-06-07,For: Max
AWTH-0011,Sir Mix-A-Lot - Sleepin' Wit My Fonk,Received,2026-06-07,For: The Walkman
AWTH-0010,Jazzy Jeff & The Fresh Prince - From Da South,Received,2026-06-07,For: The Walkman
AWTH-0009,(SLACKCiRCUS) HEYYEYAAEYAAAEYAEYAA,Received,2026-06-07,For: The Walkman
AWTH-0000,Jack White - Shedding my Velvet,Received,2026-06-01,For: Jenesis
AWTH-0000,Lake Street Drive - Mistakes,Received,2026-06-01,For: Curls
AWTH-0000,Lake Street Drive - Good Kisser,Received,2026-06-01,For: Curls
AWTH-0000,Mystery Skulls - Freakin' Out,Making,2026-06-01,For: Apocalypse
AWTH-0000,Ken Ashcorp - Hunter,Complete,2026-06-01,For: Apocalypse
AWTH-0004,Donnie Elbert - Have I Sinned,Complete,2026-06-08,For: Justin
AWTH-0003,Days N' Daze - Saboteurs,Making,2026-06-011,For: Trash Lord
AWTH-0002,Watsky - Welcome to the Family,Complete,2026-06-011,For: Trash Lord
AWTH-0001,Escape from the Zoo - Learnin' Curve,Complete,2026-03-0,For: Trash Lord
